,CARRIER,CARRIER_NAME,MANUFACTURE_YEAR,OPERATING_STATUS,MANUFACTURER,MODEL,CAPACITY_IN_POUNDS
1029,AA,American Airlines Inc.,2020,Y,BOEING,B737-800MAX,42900
1030,AA,American Airlines Inc.,2020,Y,BOEING,B737-800MAX,42900
1031,AA,American Airlines Inc.,2001,Y,BOEING,B737-823,40800
1032,AA,American Airlines Inc.,2001,Y,BOEING,B737-823,40800
1033,AA,American Airlines Inc.,2001,Y,BOEING,B737-823,40800
1034,AA,American Airlines Inc.,2001,Y,BOEING,B737-823,40800
1035,AA,American Airlines Inc.,2001,Y,BOEING,B737-823,40800
1036,AA,American Airlines Inc.,2001,Y,BOEING,B737-823,40800
1037,AA,American Airlines Inc.,2001,Y,BOEING,B737-823,40800
1038,AA,American Airlines Inc.,2001,Y,BOEING,B737-823,40800
1039,AA,American Airlines Inc.,2009,Y,BOEING,B737-823,40800
1040,AA,American Airlines Inc.,2009,Y,BOEING,B737-823,40800
1041,AA,American Airlines Inc.,2009,Y,BOEING,B737-823,40800
1042,AA,American Airlines Inc.,2009,Y,BOEING,B737-823,40800
1043,AA,American Airlines Inc.,2009,Y,BOEING,B737-823,40800
1044,AA,American Airlines Inc.,2009,Y,BOEING,B737-823,40800
1045,AA,American Airlines Inc.,2009,Y,BOEING,B737-823,40800
1046,AA,American Airlines Inc.,2009,Y,BOEING,B737-823,40800
1047,AA,American Airlines Inc.,2009,Y,BOEING,B737-823,40800
1048,AA,American Airlines Inc.,2009,Y,BOEING,B737-823,40800
1049,AA,American Airlines Inc.,2009,Y,BOEING,B737-823,40800
1050,AA,American Airlines Inc.,2009,Y,BOEING,B737-823,40800
1051,AA,American Airlines Inc.,2009,Y,BOEING,B737-823,40800
1052,AA,American Airlines Inc.,2009,Y,BOEING,B737-823,40800
1053,AA,American Airlines Inc.,2009,Y,BOEING,B737-823,40800
1054,AA,American Airlines Inc.,2009,Y,BOEING,B737-823,40800
1055,AA,American Airlines Inc.,2010,Y,BOEING,B737-823,40800
1056,AA,American Airlines Inc.,2010,Y,BOEING,B737-823,40800
1057,AA,American Airlines Inc.,2010,Y,BOEING,B737-823,40800
1058,AA,American Airlines Inc.,2010,Y,BOEING,B737-823,40800
1059,AA,American Airlines Inc.,2010,Y,BOEING,B737-823,40800
1060,AA,American Airlines Inc.,2010,Y,BOEING,B737-823,40800
1061,AA,American Airlines Inc.,2010,Y,BOEING,B737-823,40800
1062,AA,American Airlines Inc.,2010,Y,BOEING,B737-823,40800
1063,AA,American Airlines Inc.,2010,Y,BOEING,B737-823,40800
1064,AA,American Airlines Inc.,2010,Y,BOEING,B737-823,40800
1065,AA,American Airlines Inc.,2010,Y,BOEING,B737-823,40800
1066,AA,American Airlines Inc.,2010,Y,BOEING,B737-823,40800
1067,AA,American Airlines Inc.,2010,Y,BOEING,B737-823,40800
1068,AA,American Airlines Inc.,2010,Y,BOEING,B737-823,40800
1069,AA,American Airlines Inc.,2010,Y,BOEING,B737-823,40800
1070,AA,American Airlines Inc.,2010,Y,BOEING,B737-823,40800
1071,AA,American Airlines Inc.,2010,Y,BOEING,B737-823,40800
1072,AA,American Airlines Inc.,2010,Y,BOEING,B737-823,40800
1073,AA,American Airlines Inc.,2010,Y,BOEING,B737-823,40800
1074,AA,American Airlines Inc.,2010,Y,BOEING,B737-823,40800
1075,AA,American Airlines Inc.,2010,Y,BOEING,B737-823,40800
1076,AA,American Airlines Inc.,2010,Y,BOEING,B737-823,40800
1077,AA,American Airlines Inc.,2010,Y,BOEING,B737-823,40800
1078,AA,American Airlines Inc.,2010,Y,BOEING,B737-823,40800
1079,AA,American Airlines Inc.,2010,Y,BOEING,B737-823,40800
1080,AA,American Airlines Inc.,2010,Y,BOEING,B737-823,40800
1081,AA,American Airlines Inc.,2010,Y,BOEING,B737-823,40800
1082,AA,American Airlines Inc.,2010,Y,BOEING,B737-823,40800
1083,AA,American Airlines Inc.,2010,Y,BOEING,B737-823,40800
1084,AA,American Airlines Inc.,2010,Y,BOEING,B737-823,40800
1085,AA,American Airlines Inc.,2010,Y,BOEING,B737-823,40800
1086,AA,American Airlines Inc.,2010,Y,BOEING,B737-823,40800
1087,AA,American Airlines Inc.,2010,Y,BOEING,B737-823,40800
1088,AA,American Airlines Inc.,2010,Y,BOEING,B737-823,40800
1089,AA,American Airlines Inc.,2010,Y,BOEING,B737-823,40800
1090,AA,American Airlines Inc.,2010,Y,BOEING,B737-823,40800
1091,AA,American Airlines Inc.,2011,Y,BOEING,B737-823,40800
1092,AA,American Airlines Inc.,2011,Y,BOEING,B737-823,40800
1093,AA,American Airlines Inc.,2011,Y,BOEING,B737-823,40800
1094,AA,American Airlines Inc.,2011,Y,BOEING,B737-823,40800
1095,AA,American Airlines Inc.,2011,Y,BOEING,B737-823,40800
1096,AA,American Airlines Inc.,2011,Y,BOEING,B737-823,40800
1097,AA,American Airlines Inc.,2011,Y,BOEING,B737-823,40800
1098,AA,American Airlines Inc.,2011,Y,BOEING,B737-823,40800
1099,AA,American Airlines Inc.,2011,Y,BOEING,B737-823,40800
1100,AA,American Airlines Inc.,2011,Y,BOEING,B737-823,40800
1101,AA,American Airlines Inc.,2011,Y,BOEING,B737-823,40800
1102,AA,American Airlines Inc.,2011,Y,BOEING,B737-823,40800
1103,AA,American Airlines Inc.,2011,Y,BOEING,B737-823,40800
1104,AA,American Airlines Inc.,2011,Y,BOEING,B737-823,40800
1105,AA,American Airlines Inc.,2011,Y,BOEING,B737-823,40800
1106,AA,American Airlines Inc.,2011,Y,BOEING,B737-823,40800
1107,AA,American Airlines Inc.,2012,Y,BOEING,B737-823,40800
1108,AA,American Airlines Inc.,2012,Y,BOEING,B737-823,40800
1109,AA,American Airlines Inc.,2012,Y,BOEING,B737-823,40800
1110,AA,American Airlines Inc.,2012,Y,BOEING,B737-823,40800
1111,AA,American Airlines Inc.,2012,Y,BOEING,B737-823,40800
1112,AA,American Airlines Inc.,2012,Y,BOEING,B737-823,40800
1113,AA,American Airlines Inc.,2012,Y,BOEING,B737-823,40800
1114,AA,American Airlines Inc.,2012,Y,BOEING,B737-823,40800
1115,AA,American Airlines Inc.,2012,Y,BOEING,B737-823,40800
1116,AA,American Airlines Inc.,2012,Y,BOEING,B737-823,40800
1117,AA,American Airlines Inc.,2012,Y,BOEING,B737-823,40800
1118,AA,American Airlines Inc.,2012,Y,BOEING,B737-823,40800
1119,AA,American Airlines Inc.,2012,Y,BOEING,B737-823,40800
1120,AA,American Airlines Inc.,2012,Y,BOEING,B737-823,40800
1121,AA,American Airlines Inc.,2012,Y,BOEING,B737-823,40800
1122,AA,American Airlines Inc.,2012,Y,BOEING,B737-823,40800
1123,AA,American Airlines Inc.,2012,Y,BOEING,B737-823,40800
1124,AA,American Airlines Inc.,2012,Y,BOEING,B737-823,40800
1125,AA,American Airlines Inc.,2012,Y,BOEING,B737-823,40800
1126,AA,American Airlines Inc.,2012,Y,BOEING,B737-823,40800
1127,AA,American Airlines Inc.,2012,Y,BOEING,B737-823,40800
1128,AA,American Airlines Inc.,2012,Y,BOEING,B737-823,40800
1129,AA,American Airlines Inc.,2012,Y,BOEING,B737-823,40800
1130,AA,American Airlines Inc.,2012,Y,BOEING,B737-823,40800
1131,AA,American Airlines Inc.,2012,Y,BOEING,B737-823,40800
1132,AA,American Airlines Inc.,2012,Y,BOEING,B737-823,40800
1133,AA,American Airlines Inc.,2012,Y,BOEING,B737-823,40800
1134,AA,American Airlines Inc.,2013,Y,BOEING,B737-823,40800
1135,AA,American Airlines Inc.,2013,Y,BOEING,B737-823,40800
1136,AA,American Airlines Inc.,2013,Y,BOEING,B737-823,40800
1137,AA,American Airlines Inc.,2013,Y,BOEING,B737-823,40800
1138,AA,American Airlines Inc.,2013,Y,BOEING,B737-823,40800
1139,AA,American Airlines Inc.,2013,Y,BOEING,B737-823,40800
1140,AA,American Airlines Inc.,2013,Y,BOEING,B737-823,40800
